DateTime,Shot Type,PowerPlay,XLocation,YLocation
2016-05-07T23:15:00Z,Slap Shot,FALSE,-49,-10
2016-10-09T21:00:00Z,Slap Shot,FALSE,56,25
2016-10-18T23:00:00Z,Slap Shot,FALSE,-73,-25
2016-10-20T23:30:00Z,Tip-In,TRUE,66,3
2016-10-22T23:00:00Z,Snap Shot,TRUE,-59,16
2016-10-27T01:30:00Z,Wrist Shot,TRUE,-81,-2
2016-11-03T23:00:00Z,Backhand,TRUE,78,-3
2016-11-03T23:00:00Z,Slap Shot,FALSE,63,23
2016-11-05T23:00:00Z,Tip-In,TRUE,-78,4
2016-11-17T00:30:00Z,Wrist Shot,TRUE,-81,3
2016-11-20T17:30:00Z,Wrist Shot,FALSE,75,22
2016-11-24T00:00:00Z,Snap Shot,FALSE,-62,-18
2016-11-24T00:00:00Z,Slap Shot,TRUE,62,27
2016-11-24T00:00:00Z,Wrist Shot,TRUE,-60,-19
2016-12-11T22:00:00Z,Wrist Shot,FALSE,-70,-23
2016-12-17T00:30:00Z,Wrist Shot,FALSE,-44,-11
2016-12-24T00:00:00Z,Backhand,TRUE,75,1
2016-12-28T00:00:00Z,Backhand,TRUE,-79,2
2016-12-31T18:00:00Z,Wrist Shot,TRUE,81,9
2017-01-04T00:00:00Z,Snap Shot,TRUE,79,13
2017-01-10T00:30:00Z,Snap Shot,FALSE,48,19
2017-01-12T01:00:00Z,Wrist Shot,TRUE,-67,17
2017-01-12T01:00:00Z,Slap Shot,FALSE,61,24
2017-01-22T01:00:00Z,Slap Shot,FALSE,57,29
2017-01-27T00:00:00Z,Backhand,TRUE,-80,-3
2017-02-01T00:00:00Z,Slap Shot,TRUE,-31,-13
2017-02-02T01:00:00Z,Snap Shot,FALSE,56,17
2017-02-08T00:00:00Z,Snap Shot,FALSE,-60,-23
2017-02-19T17:30:00Z,Wrist Shot,FALSE,-65,-18
2017-03-14T23:00:00Z,Wrist Shot,TRUE,66,20
2017-03-21T23:00:00Z,Wrist Shot,FALSE,-70,-21
2017-03-25T23:00:00Z,Wrist Shot,FALSE,-67,-19
2017-03-29T00:00:00Z,Wrist Shot,FALSE,-76,-27
2017-03-29T00:00:00Z,Slap Shot,FALSE,-60,-29
2017-03-29T00:00:00Z,Wrist Shot,FALSE,55,17
2017-04-15T23:00:00Z,Wrist Shot,FALSE,68,21
2017-04-17T23:00:00Z,Snap Shot,TRUE,69,12
2017-04-19T23:00:00Z,Slap Shot,FALSE,66,22
2017-04-27T23:30:00Z,Wrist Shot,TRUE,54,13
2017-05-06T23:15:00Z,Wrist Shot,TRUE,-70,6
2018-01-03T00:00:00Z,Backhand,TRUE,81,-2
2018-01-03T00:00:00Z,Snap Shot,TRUE,-65,12
2018-01-07T20:00:00Z,Slap Shot,FALSE,-61,-25
2018-01-13T00:30:00Z,Slap Shot,TRUE,-59,-22
2018-01-21T17:30:00Z,Slap Shot,FALSE,55,25
2018-01-26T00:30:00Z,Tip-In,TRUE,-74,-13
2018-02-03T00:00:00Z,Wrist Shot,TRUE,-80,3
2018-02-03T00:00:00Z,Snap Shot,TRUE,-79,-19
2018-02-11T20:00:00Z,Slap Shot,FALSE,-61,-27
2018-02-16T01:00:00Z,Wrist Shot,TRUE,-58,19
2018-02-19T20:00:00Z,Deflected,TRUE,82,5
2018-02-21T00:00:00Z,Snap Shot,TRUE,-67,-20
2018-02-25T00:00:00Z,Snap Shot,FALSE,-60,-16
2018-02-25T00:00:00Z,Tip-In,TRUE,-77,0
2018-02-27T00:00:00Z,Slap Shot,FALSE,-46,-23
2018-03-04T01:00:00Z,Wrist Shot,TRUE,77,4
2018-03-12T23:00:00Z,Wrist Shot,FALSE,-57,-20
2018-03-12T23:00:00Z,Wrist Shot,TRUE,85,8
2018-03-18T21:00:00Z,Tip-In,TRUE,-81,-3
2018-03-20T23:00:00Z,Slap Shot,FALSE,48,22
2018-03-26T23:30:00Z,Slap Shot,FALSE,61,18
2018-04-03T00:00:00Z,Wrist Shot,FALSE,-23,-24
2018-04-05T23:00:00Z,Snap Shot,FALSE,58,22
2018-04-07T23:00:00Z,Slap Shot,TRUE,-71,-23
2018-04-07T23:00:00Z,Slap Shot,TRUE,-54,22
2018-04-15T23:30:00Z,Wrist Shot,FALSE,-57,-19
2018-04-15T23:30:00Z,Snap Shot,FALSE,81,24
2018-04-19T23:30:00Z,Wrist Shot,TRUE,-64,9
2018-04-23T23:30:00Z,Backhand,TRUE,76,1
2018-04-23T23:30:00Z,Slap Shot,FALSE,59,23
2018-04-26T23:00:00Z,Snap Shot,TRUE,-59,-17
2018-04-29T19:00:00Z,Wrist Shot,TRUE,-50,-8
2018-05-01T23:30:00Z,Wrist Shot,TRUE,-78,1
2018-05-12T00:00:00Z,Slap Shot,FALSE,-42,-3
2018-05-14T00:00:00Z,Wrist Shot,TRUE,-68,-12
2018-05-19T23:15:00Z,Slap Shot,TRUE,-42,-20
2018-05-24T00:00:00Z,Slap Shot,TRUE,-41,-22
2018-05-31T00:00:00Z,Snap Shot,FALSE,-81,-14
2018-06-03T00:00:00Z,Backhand,TRUE,79,5
2018-06-08T00:00:00Z,Slap Shot,FALSE,-82,-26
2019-01-04T01:00:00Z,Wrist Shot,TRUE,-64,18
2019-01-11T00:00:00Z,Wrist Shot,TRUE,69,17
2019-01-11T00:00:00Z,Wrist Shot,TRUE,75,-9
2019-01-15T00:00:00Z,Slap Shot,FALSE,-64,-28
2019-01-23T00:00:00Z,Wrist Shot,FALSE,-86,-8
2019-01-23T00:00:00Z,Wrist Shot,TRUE,53,23
